"velocity:0","velocity:1","velocity:2"
-0.10099,0.10047,-0.00052086
-0.098922,0.098787,-0.0010555
-0.092807,0.09276,-0.0022392
-0.082893,0.082871,-0.0039729
-0.069584,0.069572,-0.0073238
-0.053426,0.053419,-0.014838
-0.035078,0.035075,-0.035312
-0.015294,0.015293,-0.56134
0.0051154,-0.0051153,-0.58771
0.025316,-0.025314,-0.066979
0.04448,-0.044475,-0.022177
0.061822,-0.061813,-0.010286
0.076632,-0.076616,-0.0053397
0.088303,-0.088272,-0.002991
0.096359,-0.096282,-0.0016154
0.10047,-0.10021,-0.00052316
0.10047,-0.10021,0.00052316
0.096359,-0.096282,0.0016154
0.088303,-0.088272,0.002991
0.076632,-0.076616,0.0053397
0.061822,-0.061813,0.010286
0.04448,-0.044475,0.022177
0.025316,-0.025314,0.066979
0.0051154,-0.0051153,0.58771
-0.015294,0.015293,0.56134
-0.035078,0.035075,0.035312
-0.053426,0.053419,0.014838
-0.069584,0.069572,0.0073238
-0.082893,0.082871,0.0039729
-0.092807,0.09276,0.0022392
-0.098922,0.098787,0.0010555
-0.10099,0.10047,0.00052086
-0.098922,0.1988,-5.1052e-05
-0.096898,0.19508,-0.0004319
-0.090908,0.18328,-0.0015178
-0.081197,0.16385,-0.0033801
-0.06816,0.13762,-0.0068451
-0.052332,0.1057,-0.014357
-0.03436,0.069418,-0.034464
-0.014981,0.030272,-0.55017
0.0050107,-0.010126,-0.57589
0.024798,-0.050104,-0.065376
0.04357,-0.088014,-0.021592
0.060557,-0.12229,-0.0098291
0.075064,-0.15152,-0.0048119
0.086496,-0.17447,-0.0023279
0.094387,-0.19017,-0.0008854
0.098415,-0.19796,-0.00016162
0.098415,-0.19796,0.00016162
0.094387,-0.19017,0.0008854
0.086496,-0.17447,0.0023279
0.075064,-0.15152,0.0048119
0.060557,-0.12229,0.0098291
0.04357,-0.088014,0.021592
0.024798,-0.050104,0.065376
0.0050107,-0.010126,0.57589
-0.014981,0.030272,0.55017
-0.03436,0.069418,0.034464
-0.052332,0.1057,0.014357
-0.06816,0.13762,0.0068451
-0.081197,0.16385,0.0033801
-0.090908,0.18328,0.0015178
-0.096898,0.19508,0.0004319
-0.098922,0.1988,5.1052e-05
-0.092809,0.38917,-1.4788e-05
-0.09091,0.38148,-0.00018395
-0.085289,0.35838,-0.00088549
-0.076178,0.32049,-0.0025355
-0.063947,0.26931,-0.005935
-0.049097,0.20693,-0.013205
-0.032236,0.13595,-0.032114
-0.014055,0.059297,-0.51705
0.0047008,-0.019836,-0.54085
0.023264,-0.098135,-0.060799
0.040876,-0.17234,-0.020064
0.056813,-0.23937,-0.0088492
0.070424,-0.29644,-0.003932
0.08115,-0.34121,-0.0015587
0.088554,-0.37184,-0.00044399
0.092333,-0.38726,-5.6194e-05
0.092333,-0.38726,5.6194e-05
0.088554,-0.37184,0.00044399
0.08115,-0.34121,0.0015587
0.070424,-0.29644,0.003932
0.056813,-0.23937,0.0088492
0.040876,-0.17234,0.020064
0.023264,-0.098135,0.060799
0.0047008,-0.019836,0.54085
-0.014055,0.059297,0.51705
-0.032236,0.13595,0.032114
-0.049097,0.20693,0.013205
-0.063947,0.26931,0.005935
-0.076178,0.32049,0.0025355
-0.085289,0.35838,0.00088549
-0.09091,0.38148,0.00018395
-0.092809,0.38917,1.4788e-05
-0.082897,0.56313,-8.3315e-06
-0.0812,0.55184,-0.00011643
-0.07618,0.51827,-0.00063967
-0.068041,0.46351,-0.0020553
-0.057115,0.38962,-0.005167
-0.043851,0.2995,-0.011803
-0.028791,0.19684,-0.028624
-0.012553,0.085885,-0.4631
0.0041985,-0.028734,-0.48391
0.020779,-0.14212,-0.053775
0.036509,-0.24948,-0.017954
0.050744,-0.34637,-0.0078432
0.062901,-0.4288,-0.0033238
0.072482,-0.49343,-0.0011977
0.079096,-0.53779,-0.00030037
0.082472,-0.5603,-3.3273e-05
0.082472,-0.5603,3.3273e-05
0.079096,-0.53779,0.00030037
0.072482,-0.49343,0.0011977
0.062901,-0.4288,0.0033238
0.050744,-0.34637,0.0078432
0.036509,-0.24948,0.017954
0.020779,-0.14212,0.053775
0.0041985,-0.028734,0.48391
-0.012553,0.085885,0.4631
-0.028791,0.19684,0.028624
-0.043851,0.2995,0.011803
-0.057115,0.38962,0.005167
-0.068041,0.46351,0.0020553
-0.07618,0.51827,0.00063967
-0.0812,0.55184,0.00011643
-0.082897,0.56313,8.3315e-06
-0.06959,0.71354,-6.8541e-06
-0.068166,0.69918,-9.7747e-05
-0.063951,0.65658,-0.00054936
-0.057117,0.58724,-0.0017937
-0.047945,0.49373,-0.0045202
-0.03681,0.37966,-0.010202
-0.024168,0.24961,-0.024197
-0.010537,0.10895,-0.39012
0.0035243,-0.036454,-0.40714
0.017442,-0.18025,-0.044817
0.030646,-0.31631,-0.015363
0.042596,-0.439,-0.0068314
0.052802,-0.54331,-0.0029098
0.060846,-0.62512,-0.0010383
0.066399,-0.68134,-0.00025514
0.069233,-0.70994,-2.7611e-05
0.069233,-0.70994,2.7611e-05
0.066399,-0.68134,0.00025514
0.060846,-0.62512,0.0010383
0.052802,-0.54331,0.0029098
0.042596,-0.439,0.0068314
0.030646,-0.31631,0.015363
0.017442,-0.18025,0.044817
0.0035243,-0.036454,0.40714
-0.010537,0.10895,0.39012
-0.024168,0.24961,0.024197
-0.03681,0.37966,0.010202
-0.047945,0.49373,0.0045202
-0.057117,0.58724,0.0017937
-0.063951,0.65658,0.00054936
-0.068166,0.69918,9.7747e-05
-0.06959,0.71354,6.8541e-06
-0.053433,0.8344,-5.998e-06
-0.052339,0.8176,-8.5041e-05
-0.049102,0.76781,-0.00047284
-0.043855,0.68678,-0.001518
-0.036812,0.57752,-0.003738
-0.028262,0.44421,-0.0082023
-0.018556,0.29214,-0.018844
-0.00809,0.12754,-0.30064
0.0027059,-0.042681,-0.31335
0.013391,-0.21099,-0.034294
0.02353,-0.37015,-0.012161
0.032705,-0.51356,-0.0055731
0.040541,-0.63545,-0.0024361
0.046718,-0.73104,-0.00088691
0.050982,-0.79675,-0.00022094
0.053158,-0.83019,-2.4108e-05
0.053158,-0.83019,2.4108e-05
0.050982,-0.79675,0.00022094
0.046718,-0.73104,0.00088691
0.040541,-0.63545,0.0024361
0.032705,-0.51356,0.0055731
0.02353,-0.37015,0.012161
0.013391,-0.21099,0.034294
0.0027059,-0.042681,0.31335
-0.00809,0.12754,0.30064
-0.018556,0.29214,0.018844
-0.028262,0.44421,0.0082023
-0.036812,0.57752,0.003738
-0.043855,0.68678,0.001518
-0.049102,0.76781,0.00047284
-0.052339,0.8176,8.5041e-05
-0.053433,0.8344,5.998e-06
-0.035084,0.92105,-4.486e-06
-0.034366,0.90252,-6.3147e-05
-0.032241,0.8476,-0.00034687
-0.028795,0.75823,-0.0010943
-0.02417,0.63769,-0.0026349
-0.018557,0.49058,-0.0056324
-0.012183,0.3227,-0.012569
-0.0053117,0.14091,-0.19803
0.0017766,-0.04716,-0.20618
0.0087925,-0.23309,-0.022508
0.015449,-0.40883,-0.0082332
0.021474,-0.56712,-0.0038789
0.026619,-0.7016,-0.0017375
0.030675,-0.80704,-0.00064541
0.033475,-0.87952,-0.00016317
0.034904,-0.91641,-1.798e-05
0.034904,-0.91641,1.798e-05
0.033475,-0.87952,0.00016317
0.030675,-0.80704,0.00064541
0.026619,-0.7016,0.0017375
0.021474,-0.56712,0.0038789
0.015449,-0.40883,0.0082332
0.0087925,-0.23309,0.022508
0.0017766,-0.04716,0.20618
-0.0053117,0.14091,0.19803
-0.012183,0.3227,0.012569
-0.018557,0.49058,0.0056324
-0.02417,0.63769,0.0026349
-0.028795,0.75823,0.0010943
-0.032241,0.8476,0.00034687
-0.034366,0.90252,6.3147e-05
-0.035084,0.92105,4.486e-06
-0.015298,0.97024,-2.1187e-06
-0.014984,0.95074,-2.9702e-05
-0.014058,0.89291,-0.00016202
-0.012555,0.79882,-0.00050598
-0.010539,0.67189,-0.0012022
-0.0080909,0.51695,-0.0025291
-0.005312,0.34009,-0.0055416
-0.002316,0.14852,-0.086518
0.00077461,-0.04971,-0.090021
0.0038336,-0.24566,-0.00982
0.006736,-0.43083,-0.0036644
0.0093628,-0.59757,-0.0017562
0.011606,-0.73919,-0.00079833
0.013375,-0.85022,-0.00030006
0.014596,-0.92652,-7.6509e-05
0.015219,-0.96535,-8.4782e-06
0.015219,-0.96535,8.4782e-06
0.014596,-0.92652,7.6509e-05
0.013375,-0.85022,0.00030006
0.011606,-0.73919,0.00079833
0.0093628,-0.59757,0.0017562
0.006736,-0.43083,0.0036644
0.0038336,-0.24566,0.00982
0.00077461,-0.04971,0.090021
-0.002316,0.14852,0.086518
-0.005312,0.34009,0.0055416
-0.0080909,0.51695,0.0025291
-0.010539,0.67189,0.0012022
-0.012555,0.79882,0.00050598
-0.014058,0.89291,0.00016202
-0.014984,0.95074,2.9702e-05
-0.015298,0.97024,2.1187e-06
0.0051167,0.98017,7.2037e-07
0.005012,0.96047,1.0091e-05
0.004702,0.90206,5.497e-05
0.0041994,0.80702,0.00017132
0.003525,0.6788,0.00040596
0.0027062,0.52228,0.00085125
0.0017768,0.3436,0.0018581
0.00077464,0.15006,0.028951
-0.00025909,-0.050225,0.030119
-0.0012823,-0.2482,0.0032853
-0.002253,-0.43528,0.0012311
-0.0031317,-0.60372,0.00059212
-0.0038821,-0.74678,0.00026996
-0.0044737,-0.85894,0.00010171
-0.004882,-0.93601,2.5977e-05
-0.0050905,-0.97523,2.8818e-06
-0.0050905,-0.97523,-2.8818e-06
-0.004882,-0.93601,-2.5977e-05
-0.0044737,-0.85894,-0.00010171
-0.0038821,-0.74678,-0.00026996
-0.0031317,-0.60372,-0.00059212
-0.002253,-0.43528,-0.0012311
-0.0012823,-0.2482,-0.0032853
-0.00025909,-0.050225,-0.030119
0.00077464,0.15006,-0.028951
0.0017768,0.3436,-0.0018581
0.0027062,0.52228,-0.00085125
0.003525,0.6788,-0.00040596
0.0041994,0.80702,-0.00017132
0.004702,0.90206,-5.497e-05
0.005012,0.96047,-1.0091e-05
0.0051167,0.98017,-7.2037e-07
0.025321,0.95047,3.3951e-06
0.024803,0.93136,4.7672e-05
0.023269,0.8747,0.00026078
0.020782,0.7825,0.00081769
0.017444,0.65815,0.0019532
0.013392,0.50635,0.0041358
0.0087928,0.3331,0.0091301
0.0038335,0.14546,0.14309
-0.0012822,-0.048685,0.14892
-0.0063456,-0.2406,0.016249
-0.01115,-0.42199,0.0060139
-0.015498,-0.58533,0.0028623
-0.019212,-0.72408,0.0012934
-0.022139,-0.83287,0.00048385
-0.02416,-0.90763,0.00012295
-0.025191,-0.94569,1.3594e-05
-0.025191,-0.94569,-1.3594e-05
-0.02416,-0.90763,-0.00012295
-0.022139,-0.83287,-0.00048385
-0.019212,-0.72408,-0.0012934
-0.015498,-0.58533,-0.0028623
-0.01115,-0.42199,-0.0060139
-0.0063456,-0.2406,-0.016249
-0.0012822,-0.048685,-0.14892
0.0038335,0.14546,-0.14309
0.0087928,0.3331,-0.0091301
0.013392,0.50635,-0.0041358
0.017444,0.65815,-0.0019532
0.020782,0.7825,-0.00081769
0.023269,0.8747,-0.00026078
0.024803,0.93136,-4.7672e-05
0.025321,0.95047,-3.3951e-06
0.044487,0.88224,5.3541e-06
0.043576,0.86449,7.5616e-05
0.040881,0.81185,0.00041768
0.036512,0.72622,0.0013283
0.030649,0.61073,0.0032315
0.02353,0.4698,0.006992
0.015449,0.309,0.015817
0.0067354,0.13492,0.25073
-0.0022528,-0.045152,0.26118
-0.011149,-0.22318,0.028539
-0.01959,-0.39149,0.010288
-0.027229,-0.54312,0.0047852
-0.033754,-0.67196,0.0021194
-0.038896,-0.77299,0.00078003
-0.042447,-0.84244,0.00019587
-0.044259,-0.87779,2.1487e-05
-0.044259,-0.87779,-2.1487e-05
-0.042447,-0.84244,-0.00019587
-0.038896,-0.77299,-0.00078003
-0.033754,-0.67196,-0.0021194
-0.027229,-0.54312,-0.0047852
-0.01959,-0.39149,-0.010288
-0.011149,-0.22318,-0.028539
-0.0022528,-0.045152,-0.26118
0.0067354,0.13492,-0.25073
0.015449,0.309,-0.015817
0.02353,0.4698,-0.006992
0.030649,0.61073,-0.0032315
0.036512,0.72622,-0.0013283
0.040881,0.81185,-0.00041768
0.043576,0.86449,-7.5616e-05
0.044487,0.88224,-5.3541e-06
0.061829,0.77799,6.4626e-06
0.060563,0.76232,9.1981e-05
0.056818,0.71588,0.00051481
0.050747,0.64031,0.0016688
0.042597,0.53839,0.0041612
0.032704,0.41406,0.0092666
0.021472,0.27227,0.021638
0.0093616,0.11885,0.34726
-0.0031312,-0.039771,0.36216
-0.015496,-0.19663,0.039733
-0.027228,-0.345,0.013849
-0.037845,-0.47874,0.0062486
-0.046913,-0.59242,0.0026941
-0.05406,-0.68159,0.00096994
-0.058993,-0.74287,0.00023967
-0.061512,-0.77406,2.6015e-05
-0.061512,-0.77406,-2.6015e-05
-0.058993,-0.74287,-0.00023967
-0.05406,-0.68159,-0.00096994
-0.046913,-0.59242,-0.0026941
-0.037845,-0.47874,-0.0062486
-0.027228,-0.345,-0.013849
-0.015496,-0.19663,-0.039733
-0.0031312,-0.039771,-0.36216
0.0093616,0.11885,-0.34726
0.021472,0.27227,-0.021638
0.032704,0.41406,-0.0092666
0.042597,0.53839,-0.0041612
0.050747,0.64031,-0.0016688
0.056818,0.71588,-0.00051481
0.060563,0.76232,-9.1981e-05
0.061829,0.77799,-6.4626e-06
0.076637,0.64168,7.3651e-06
0.075068,0.62878,0.00010464
0.070427,0.59049,0.00058617
0.062902,0.52812,0.0019133
0.052801,0.44397,0.0048437
0.040539,0.34134,0.011038
0.026616,0.22438,0.026524
0.011604,0.097919,0.42885
-0.0038813,-0.032762,0.44784
-0.019209,-0.16202,0.049512
-0.033751,-0.28437,0.016724
-0.046911,-0.39473,0.0073513
-0.05815,-0.48858,0.0031089
-0.067008,-0.56219,0.0011071
-0.073123,-0.61275,0.00027263
-0.076244,-0.63845,2.9621e-05
-0.076244,-0.63845,-2.9621e-05
-0.073123,-0.61275,-0.00027263
-0.067008,-0.56219,-0.0011071
-0.05815,-0.48858,-0.0031089
-0.046911,-0.39473,-0.0073513
-0.033751,-0.28437,-0.016724
-0.019209,-0.16202,-0.049512
-0.0038813,-0.032762,-0.44784
0.011604,0.097919,-0.42885
0.026616,0.22438,-0.026524
0.040539,0.34134,-0.011038
0.052801,0.44397,-0.0048437
0.062902,0.52812,-0.0019133
0.070427,0.59049,-0.00058617
0.075068,0.62878,-0.00010464
0.076637,0.64168,-7.3651e-06
0.088306,0.47867,1.0373e-05
0.086499,0.46912,0.00013928
0.081151,0.44063,0.00073024
0.072481,0.39408,0.0022523
0.060843,0.3312,0.0055237
0.046713,0.25454,0.012523
0.030671,0.16726,0.030493
0.013372,0.072967,0.49258
-0.0044726,-0.02441,0.51501
-0.022135,-0.12075,0.057558
-0.038892,-0.21201,0.019067
-0.054056,-0.29441,0.0083376
-0.067006,-0.36454,0.0035892
-0.077212,-0.41953,0.0013376
-0.084257,-0.45721,0.000351
-0.087853,-0.47628,4.0732e-05
-0.087853,-0.47628,-4.0732e-05
-0.084257,-0.45721,-0.000351
-0.077212,-0.41953,-0.0013376
-0.067006,-0.36454,-0.0035892
