"Points:0","Points:1","Points:2"
0,0,0
0,0.20268,0
0,0.40537,0
0,0.60805,0
0,0.81073,0
0,1.0134,0
0,1.2161,0
0,1.4188,0
0,1.6215,0
0,1.8242,0
0,2.0268,0
0,2.2295,0
0,2.4322,0
0,2.6349,0
0,2.8376,0
0,3.0403,0
0,3.2429,0
0,3.4456,0
0,3.6483,0
0,3.851,0
0,4.0537,0
0,4.2564,0
0,4.459,0
0,4.6617,0
0,4.8644,0
0,5.0671,0
0,5.2698,0
0,5.4725,0
0,5.6751,0
0,5.8778,0
0,6.0805,0
0,6.2832,0
0.20268,0,0
0.20268,0.20268,0
0.20268,0.40537,0
0.20268,0.60805,0
0.20268,0.81073,0
0.20268,1.0134,0
0.20268,1.2161,0
0.20268,1.4188,0
0.20268,1.6215,0
0.20268,1.8242,0
0.20268,2.0268,0
0.20268,2.2295,0
0.20268,2.4322,0
0.20268,2.6349,0
0.20268,2.8376,0
0.20268,3.0403,0
0.20268,3.2429,0
0.20268,3.4456,0
0.20268,3.6483,0
0.20268,3.851,0
0.20268,4.0537,0
0.20268,4.2564,0
0.20268,4.459,0
0.20268,4.6617,0
0.20268,4.8644,0
0.20268,5.0671,0
0.20268,5.2698,0
0.20268,5.4725,0
0.20268,5.6751,0
0.20268,5.8778,0
0.20268,6.0805,0
0.20268,6.2832,0
0.40537,0,0
0.40537,0.20268,0
0.40537,0.40537,0
0.40537,0.60805,0
0.40537,0.81073,0
0.40537,1.0134,0
0.40537,1.2161,0
0.40537,1.4188,0
0.40537,1.6215,0
0.40537,1.8242,0
0.40537,2.0268,0
0.40537,2.2295,0
0.40537,2.4322,0
0.40537,2.6349,0
0.40537,2.8376,0
0.40537,3.0403,0
0.40537,3.2429,0
0.40537,3.4456,0
0.40537,3.6483,0
0.40537,3.851,0
0.40537,4.0537,0
0.40537,4.2564,0
0.40537,4.459,0
0.40537,4.6617,0
0.40537,4.8644,0
0.40537,5.0671,0
0.40537,5.2698,0
0.40537,5.4725,0
0.40537,5.6751,0
0.40537,5.8778,0
0.40537,6.0805,0
0.40537,6.2832,0
0.60805,0,0
0.60805,0.20268,0
0.60805,0.40537,0
0.60805,0.60805,0
0.60805,0.81073,0
0.60805,1.0134,0
0.60805,1.2161,0
0.60805,1.4188,0
0.60805,1.6215,0
0.60805,1.8242,0
0.60805,2.0268,0
0.60805,2.2295,0
0.60805,2.4322,0
0.60805,2.6349,0
0.60805,2.8376,0
0.60805,3.0403,0
0.60805,3.2429,0
0.60805,3.4456,0
0.60805,3.6483,0
0.60805,3.851,0
0.60805,4.0537,0
0.60805,4.2564,0
0.60805,4.459,0
0.60805,4.6617,0
0.60805,4.8644,0
0.60805,5.0671,0
0.60805,5.2698,0
0.60805,5.4725,0
0.60805,5.6751,0
0.60805,5.8778,0
0.60805,6.0805,0
0.60805,6.2832,0
0.81073,0,0
0.81073,0.20268,0
0.81073,0.40537,0
0.81073,0.60805,0
0.81073,0.81073,0
0.81073,1.0134,0
0.81073,1.2161,0
0.81073,1.4188,0
0.81073,1.6215,0
0.81073,1.8242,0
0.81073,2.0268,0
0.81073,2.2295,0
0.81073,2.4322,0
0.81073,2.6349,0
0.81073,2.8376,0
0.81073,3.0403,0
0.81073,3.2429,0
0.81073,3.4456,0
0.81073,3.6483,0
0.81073,3.851,0
0.81073,4.0537,0
0.81073,4.2564,0
0.81073,4.459,0
0.81073,4.6617,0
0.81073,4.8644,0
0.81073,5.0671,0
0.81073,5.2698,0
0.81073,5.4725,0
0.81073,5.6751,0
0.81073,5.8778,0
0.81073,6.0805,0
0.81073,6.2832,0
1.0134,0,0
1.0134,0.20268,0
1.0134,0.40537,0
1.0134,0.60805,0
1.0134,0.81073,0
1.0134,1.0134,0
1.0134,1.2161,0
1.0134,1.4188,0
1.0134,1.6215,0
1.0134,1.8242,0
1.0134,2.0268,0
1.0134,2.2295,0
1.0134,2.4322,0
1.0134,2.6349,0
1.0134,2.8376,0
1.0134,3.0403,0
1.0134,3.2429,0
1.0134,3.4456,0
1.0134,3.6483,0
1.0134,3.851,0
1.0134,4.0537,0
1.0134,4.2564,0
1.0134,4.459,0
1.0134,4.6617,0
1.0134,4.8644,0
1.0134,5.0671,0
1.0134,5.2698,0
1.0134,5.4725,0
1.0134,5.6751,0
1.0134,5.8778,0
1.0134,6.0805,0
1.0134,6.2832,0
1.2161,0,0
1.2161,0.20268,0
1.2161,0.40537,0
1.2161,0.60805,0
1.2161,0.81073,0
1.2161,1.0134,0
1.2161,1.2161,0
1.2161,1.4188,0
1.2161,1.6215,0
1.2161,1.8242,0
1.2161,2.0268,0
1.2161,2.2295,0
